Species,EscHt,UL,LL
Aexce,474.8,494.07,435.94
Alate,611.78,644.165,549.345
Bobov,307.31,356.07,250.378
Cneso,466.45,567.388,383.16
Echlo,331.22,345.4,306.83
Emini,399.47,465.72,350
Etetr,340.1,396.53,300.01
Gheli,272.48,318.262,237.27
Pcare,324.47,350.86,289.27
Tferd,411.95,438.569,365.663
